Date,VisTeam,VisRushingYards,VisRushingAttempts,VisPassingYards,VisPassingAttempts,VisPassingCompletions,VisPenalties,VisPenaltyYards,VisFumblesLost,VisInterceptionsThrown,Vis1stDowns,Vis3rdDownAttempts,Vis3rdDownConversions,Vis4thDownAttempts,Vis4thDownConversions,VisTimeofPossession,VisScore,HomeTeam,HomeRushingYards,HomeRushingAttempts,HomePassingYards,HomePassingAttempts,HomePassingCompletions,HomePenalties,HomePenaltyYards,HomeFumblesLost,HomeInterceptionsThrown,Home1stDowns,Home3rdDownAttempts,Home3rdDownConversions,Home4thDownAttempts,Home4thDownConversions,HomeTimeofPossession,HomeScore,Winner,WinnerTag
9/2/2017,NC Central,64,31,94,18,11,7,66,0,1,8,12,2,1,0,1751,7,Duke,243,47,281,34,26,3,40,0,0,30,14,6,4,3,1849,60,Duke,DUKE42980
9/2/2017,Ball State,171,51,204,34,21,2,25,1,1,21,21,12,2,1,2193,21,Illinois,71,30,145,19,10,3,30,0,1,14,10,2,1,1,1407,24,Illinois,ILL42980
9/2/2017,Wyoming,59,30,174,40,23,5,40,0,2,15,18,5,2,1,1866,3,Iowa,138,41,125,15,8,3,25,3,1,16,13,4,2,2,1734,24,Iowa,IOWA42980
9/2/2017,Cent Arkansas,223,55,198,35,27,3,15,2,1,28,19,10,3,2,2233,19,Kansas State,186,31,333,16,10,6,58,0,0,16,9,5,1,0,1367,55,Kansas State,KSU42980
9/2/2017,SE Missouri St,83,34,170,43,25,6,52,1,0,13,20,6,4,1,2091,16,Kansas,73,25,364,37,23,5,49,1,2,17,15,6,1,1,1509,38,Kansas,KU42980
9/2/2017,Louisville,146,33,378,46,30,16,110,3,0,27,16,7,0,0,1911,35,Purdue,51,21,293,57,33,6,69,1,3,25,14,5,3,2,1689,28,Louisville,LOU42980
9/2/2017,Miami-OH,131,42,298,44,23,5,51,1,1,25,17,8,3,3,2144,26,Marshall,59,25,208,30,20,6,43,1,1,15,13,7,1,0,1456,31,Marshall,MAR42980
9/2/2017,Maryland,263,43,219,15,12,10,53,0,1,18,11,3,0,0,1784,51,Texas,98,31,375,53,34,11,117,1,1,26,18,9,4,0,1816,41,Maryland,MARY42980
9/2/2017,Michigan,215,49,218,26,12,7,55,0,2,19,18,6,1,1,2053,33,Florida,11,27,181,26,14,5,45,3,0,9,13,2,2,1,1547,17,Michigan,MICH42980
9/2/2017,Missouri State,139,39,353,35,24,4,30,1,1,21,16,8,0,0,2296,43,Missouri,294,41,521,34,21,6,52,1,1,35,12,8,1,0,1304,72,Missouri,MIZZ42980
9/2/2017,Bowling Green,67,24,145,31,10,4,20,0,1,9,13,2,2,0,1319,10,Michigan State,215,46,250,36,22,4,25,3,0,25,15,8,0,0,2281,35,Michigan State,MSU42980
9/2/2017,Navy,416,68,110,10,3,2,20,1,1,23,17,9,2,2,2387,42,FAU,40,24,286,33,21,4,20,0,2,16,14,5,1,0,1213,19,Navy,NAVY42980
9/2/2017,Temple,85,37,245,35,19,6,42,1,0,18,17,5,2,0,2029,16,Notre Dame,422,44,184,30,17,4,20,0,1,26,13,6,2,1,1571,49,Notre Dame,ND42980
9/2/2017,Lamar,86,33,180,41,20,3,15,1,1,15,18,4,4,2,1266,14,North Texas,436,60,232,24,17,5,40,1,0,31,11,3,3,2,2334,59,North Texas,NT42980
9/2/2017,Nevada,142,26,199,37,16,6,65,1,1,19,14,5,2,0,1265,20,Northwestern,156,50,352,38,28,8,90,1,1,26,19,8,5,3,2335,31,Northwestern,NW42980
9/2/2017,Albany (N.Y.),115,41,160,31,13,7,65,0,1,18,15,4,2,1,2032,17,Old Dominion,98,31,187,26,18,3,30,1,2,15,12,4,2,1,1568,31,Old Dominion,OD42980
9/2/2017,Portland State,291,54,224,28,16,5,55,1,2,28,13,4,4,2,2182,32,Oregon State,154,32,235,25,18,5,52,1,1,18,10,3,0,0,1418,35,Oregon State,OGST42980
9/2/2017,Hampton,47,32,61,24,6,10,67,2,0,7,15,2,0,0,1457,0,Ohio,248,53,172,19,13,6,54,0,1,22,14,7,3,3,2143,59,Ohio,OHIO42980
9/2/2017,South Alabama,170,37,204,31,19,3,22,0,0,25,10,1,2,1,1911,27,Ole Miss,102,29,429,35,28,7,45,1,0,23,11,6,1,1,1689,47,Ole Miss,OLE42980
9/2/2017,UTEP,73,21,94,27,16,5,50,1,0,11,12,4,0,0,1524,7,Oklahoma,180,38,496,36,32,5,60,0,0,35,7,4,2,0,2076,56,Oklahoma,OU42980
9/2/2017,Youngstown St,107,26,311,32,18,5,45,0,1,19,11,4,2,2,1529,21,Pitt,208,53,140,24,17,0,0,1,0,24,16,9,3,3,2071,28,Pitt,PITT42980
9/2/2017,Akron,73,34,86,29,14,9,84,0,1,12,17,4,0,0,1830,0,Penn State,247,34,322,31,21,5,45,0,1,24,9,3,2,1,1770,52,Penn State,PSU42980
9/2/2017,Cal Poly,196,61,37,10,4,3,15,3,0,13,18,6,1,1,2005,13,San Jose State,271,52,211,26,15,7,57,2,0,23,17,8,3,1,1595,34,San Jose State,SJSU42980
9/2/2017,SF Austin,75,35,144,31,16,10,85,1,1,15,14,4,2,1,1748,14,SMU,243,48,222,23,12,4,30,0,0,25,12,5,2,2,1852,58,SMU,SMU42980
9/2/2017,North Carolina St,89,35,415,64,45,8,65,2,0,29,20,9,4,2,2214,28,South Carolina,31,21,215,29,17,6,45,0,1,12,12,5,0,0,1386,35,South Carolina,SUCK42980
9/2/2017,E Washington,81,36,220,36,23,5,55,1,2,19,15,6,2,1,1641,10,Texas Tech,177,40,449,35,31,11,120,0,0,32,10,5,2,0,1959,56,Texas Tech,TTU42980
9/2/2017,Houston Bapist,59,40,199,34,21,11,113,1,0,20,14,2,2,0,1875,11,Texas State,155,41,135,28,18,7,70,1,1,18,14,4,1,0,1725,20,Texas State,TXST42980
9/2/2017,Alabama A&M,45,33,138,29,13,6,44,0,1,9,14,1,1,0,1784,7,UAB,252,59,165,22,12,8,79,1,0,23,18,7,3,2,1816,38,UAB,UAB42980
9/2/2017,Appalachian St,136,32,148,32,21,11,105,0,0,12,18,7,1,0,1864,10,Georgia,221,44,147,20,11,8,46,0,2,18,14,5,1,1,1736,31,Georgia,UGA42980
9/2/2017,Kentucky,78,35,176,20,11,8,60,1,0,12,13,3,0,0,1741,24,Southern Miss,55,38,309,40,22,8,69,3,0,19,17,4,4,2,1859,17,Kentucky,UK42980
9/2/2017,W Michigan,263,48,94,23,12,6,34,0,1,24,14,5,0,0,2078,31,USC,232,34,289,33,23,9,94,0,2,25,11,7,0,0,1522,49,USC,USC42980
9/2/2017,Stony Brook,92,36,137,34,17,6,53,0,2,14,17,5,0,0,1941,17,USF,153,49,186,32,19,5,40,0,1,21,20,10,2,1,1659,31,USF,USF42980
9/2/2017,William & Mary,168,41,72,13,7,2,10,0,1,12,11,1,2,2,1680,10,UVA,92,32,262,40,27,3,15,0,0,19,18,9,4,2,1920,28,UVA,UVA42980
9/2/2017,Utah State,85,27,219,41,25,9,93,1,3,16,16,5,3,2,1601,10,Wisconsin,234,45,244,23,15,9,73,2,0,25,12,8,0,0,1999,59,Wisconsin,WIS42980
9/2/2017,Washington,84,24,284,30,17,6,56,0,0,17,11,3,0,0,1311,30,Rutgers,131,42,178,35,24,4,25,0,2,19,19,9,2,1,2289,14,Washington,WSH42980
9/2/2017,JMU,422,44,192,22,15,14,172,1,1,23,11,5,1,0,1797,34,ECU,70,30,292,53,28,8,61,1,3,28,16,6,5,2,1803,14,JMU,#N/A
9/2/2017,SE Louisiana,343,54,171,25,15,9,77,1,1,24,17,10,0,0,2047,48,LA-Lafayette,201,36,162,23,12,4,16,0,0,16,13,5,1,1,1553,51,LA-Lafayette,#N/A
9/2/2017,Charleston So,18,39,15,8,3,4,30,0,0,2,14,2,0,0,1655,0,Miss St,281,50,274,36,20,7,60,0,0,29,15,6,1,1,1945,49,Miss St,#N/A
9/2/2017,E Kentucky,25,22,320,48,29,5,65,0,0,22,15,8,2,1,1822,17,W Kentucky,100,40,264,31,20,3,25,1,0,20,17,10,3,3,1778,31,W Kentucky,#N/A
9/2/2017,Bethune-Cookman,121,30,229,39,25,13,101,1,1,20,17,8,2,2,2069,13,Miami (FL),317,34,233,31,18,8,83,0,0,28,8,4,0,0,1531,41,Miami (FL),#N/A
9/2/2017,Liberty,138,43,447,60,44,8,95,0,0,31,24,15,2,2,2296,48,Baylor,254,34,278,30,14,7,61,0,2,22,12,4,2,2,1304,45,Liberty,#N/A
9/2/2017,Northwestern St,133,33,256,40,20,8,54,1,2,22,14,3,0,0,1958,24,LA Tech,221,37,276,35,18,5,50,3,0,22,15,7,1,0,1642,52,LA Tech,#N/A
9/3/2017,N Arizona,185,42,377,50,27,9,78,1,2,29,19,10,3,1,2055,24,Arizona,506,47,89,14,7,9,81,0,0,23,11,3,2,2,1545,62,Arizona,AU42981
9/3/2017,FSU,40,27,210,33,19,4,30,1,2,15,13,4,1,0,1633,7,Alabama,173,42,96,18,10,5,30,0,0,13,16,3,2,2,1967,24,Alabama,BAMA42981
9/3/2017,Incarnate Word,-30,27,155,31,15,7,50,1,1,8,16,3,0,0,1642,0,Fresno State,199,40,414,37,23,3,15,0,0,26,16,10,1,0,1958,66,Fresno State,FRES42981
9/3/2017,W Carolina,212,48,270,41,23,8,74,2,1,30,17,7,1,0,1698,18,Hawaii,299,49,154,24,12,11,104,0,2,23,12,5,1,0,1902,41,Hawaii,HI42981
9/3/2017,Northern Iowa,119,22,259,38,23,8,71,0,3,21,11,3,0,0,1744,24,Iowa State,134,35,271,36,27,7,74,0,1,24,15,7,2,2,1856,42,Iowa State,ISU42981
9/3/2017,BYU,-5,14,102,24,12,5,39,0,1,6,10,2,1,0,1086,0,LSU,296,57,183,18,15,10,86,0,0,26,10,5,1,0,2514,27,LSU,LSU42981
9/3/2017,Arkansas State,82,21,415,68,46,9,63,0,2,32,13,7,0,0,1662,36,Nebraska,225,38,238,32,19,8,75,0,0,25,14,7,0,0,1938,43,Nebraska,NEB42981
9/3/2017,Southern Utah,99,38,266,48,25,5,52,0,2,25,18,4,3,0,2026,21,Oregon,348,52,355,27,23,12,115,2,0,37,8,5,0,0,1574,77,Oregon,ORG42981
9/3/2017,UC Davis,57,27,258,24,19,9,79,1,2,16,11,4,1,0,1254,17,San Diego State,276,52,237,23,17,10,87,1,1,28,13,8,0,0,2346,38,San Diego State,SDSU42981
9/3/2017,Jackson State,24,42,41,14,7,3,10,1,1,7,14,1,1,0,1997,0,TCU,242,36,300,30,23,5,51,0,1,24,11,7,2,0,1603,63,TCU,TCU42981
9/3/2017,Grambling St,77,22,148,27,15,11,80,0,1,10,12,4,1,1,1426,14,Tulane,296,51,185,15,10,8,75,0,0,26,11,7,0,0,2174,43,Tulane,TULN42981
9/3/2017,Texas A&M,382,63,89,30,9,5,39,0,0,23,21,9,1,0,2182,44,UCLA,63,25,491,59,35,7,56,3,0,28,16,6,3,2,1418,45,UCLA,UCLA42981
9/3/2017,Abil Christian,8,21,274,55,35,6,48,1,2,20,18,7,1,0,2019,14,New Mexico,259,40,222,18,12,4,29,2,0,21,9,3,3,1,1581,38,New Mexico,UNM42981
9/3/2017,Vanderbilt,71,35,296,28,20,6,69,0,0,15,16,8,0,0,2193,28,Mid Tennessee,49,26,166,31,18,4,14,0,1,14,12,0,2,0,1407,6,Vanderbilt,VAND42981
9/3/2017,West Virginia,221,35,371,54,31,9,81,0,1,29,19,5,3,2,1740,24,VT,234,45,235,27,15,5,34,0,0,21,15,3,1,1,1860,31,VT,VT42981
